channel     z-pos[mm]   phi-pos[rad]
412         -78         0.156937    
413         -74         0.156937    
414         -70         0.156937    
415         -66         0.156937    
416         -62         0.156937    
417         -58         0.156937    
418         -54         0.156937    
419         -50         0.156937    
420         -46         0.156937    
421         -42         0.156937    
422         -38         0.156937    
423         -34         0.156937    
424         -30         0.156937    
425         -26         0.156937    
426         -22         0.156937    
427         -18         0.156937    
428         -14         0.156937    
429         -10         0.156937    
430         -6          0.156937    
431         -2          0.156937    
432         2           0.156937    
433         6           0.156937    
434         10          0.156937    
435         14          0.156937    
436         18          0.156937    
437         22          0.156937    
438         26          0.156937    
439         30          0.156937    
440         34          0.156937    
441         38          0.156937    
442         42          0.156937    
443         46          0.156937    
444         50          0.156937    
445         54          0.156937    
446         58          0.156937    
447         62          0.156937    
448         66          0.156937    
449         70          0.156937    
450         74          0.156937    
451         78          0.156937    
452         82          0.156937    
453         86          0.156937    
454         90          0.156937    
455         94          0.156937    
456         98          0.156937    
457         102         0.156937    
458         106         0.156937    
459         110         0.156937    
460         114         0.156937    
461         118         0.156937    
462         122         0.156937    
463         126         0.156937    
464         130         0.156937    
465         134         0.156937    
466         138         0.156937    
467         142         0.156937    
468         146         0.156937    
469         150         0.156937    
470         154         0.156937    
471         158         0.156937    
472         162         0.156937    
473         166         0.156937    
474         170         0.156937    
475         174         0.156937    
476         178         0.156937    
477         182         0.156937    
478         186         0.156937    
479         190         0.156937    
480         -191        0.191812    
481         -187        0.191812    
482         -183        0.191812    
483         -179        0.191812    
484         -175        0.191812    
485         -171        0.191812    
486         -167        0.191812    
487         -163        0.191812    
488         -159        0.191812    
489         -155        0.191812    
490         -151        0.191812    
491         -147        0.191812    
492         -143        0.191812    
493         -139        0.191812    
494         -135        0.191812    
495         -131        0.191812    
496         -127        0.191812    
497         -123        0.191812    
498         -119        0.191812    
499         -115        0.191812    
500         -111        0.191812    
501         -107        0.191812    
502         -103        0.191812    
503         -99         0.191812    
504         -95         0.191812    
505         -91         0.191812    
506         -87         0.191812    
507         -83         0.191812    
508         -79         0.191812    
509         -75         0.191812    
510         -71         0.191812    
511         -67         0.191812    
512         -63         0.191812    
513         -59         0.191812    
514         -55         0.191812    
515         -51         0.191812    
516         -47         0.191812    
517         -43         0.191812    
518         -39         0.191812    
519         -35         0.191812    
520         -31         0.191812    
521         -27         0.191812    
522         -23         0.191812    
523         -19         0.191812    
524         -15         0.191812    
525         -11         0.191812    
526         -7          0.191812    
527         -3          0.191812    
528         1           0.191812    
529         5           0.191812    
530         9           0.191812    
531         13          0.191812    
532         17          0.191812    
533         21          0.191812    
534         25          0.191812    
535         29          0.191812    
536         33          0.191812    
537         37          0.191812    
538         41          0.191812    
539         45          0.191812    
540         49          0.191812    
541         53          0.191812    
542         57          0.191812    
543         61          0.191812    
544         65          0.191812    
545         69          0.191812    
546         73          0.191812    
547         77          0.191812    
548         81          0.191812    
549         85          0.191812    
550         89          0.191812    
551         93          0.191812    
552         97          0.191812    
553         101         0.191812    
554         105         0.191812    
555         109         0.191812    
556         113         0.191812    
557         117         0.191812    
558         121         0.191812    
559         125         0.191812    
560         129         0.191812    
561         133         0.191812    
562         137         0.191812    
563         141         0.191812    
564         145         0.191812    
565         149         0.191812    
566         153         0.191812    
567         157         0.191812    
568         161         0.191812    
569         165         0.191812    
570         169         0.191812    
571         173         0.191812    
572         177         0.191812    
573         181         0.191812    
574         185         0.191812    
575         189         0.191812    
576         -192        0.226687    
577         -188        0.226687    
578         -184        0.226687    
579         -180        0.226687    
580         -176        0.226687    
581         -172        0.226687    
582         -168        0.226687    
583         -164        0.226687    
584         -160        0.226687    
585         -156        0.226687    
586         -152        0.226687    
587         -148        0.226687    
588         -144        0.226687    
589         -140        0.226687    
590         -136        0.226687    
591         -132        0.226687    
592         -128        0.226687    
593         -124        0.226687    
594         -120        0.226687    
595         -116        0.226687    
596         -112        0.226687    
597         -108        0.226687    
598         -104        0.226687    
599         -100        0.226687    
600         -96         0.226687    
601         -92         0.226687    
602         -88         0.226687    
603         -84         0.226687    
604         -80         0.226687    
605         -76         0.226687    
606         -72         0.226687    
607         -68         0.226687    
608         -64         0.226687    
609         -60         0.226687    
610         -56         0.226687    
611         -52         0.226687    
612         -48         0.226687    
613         -44         0.226687    
614         -40         0.226687    
615         -36         0.226687    
616         -32         0.226687    
617         -28         0.226687    
618         -24         0.226687    
619         -20         0.226687    
620         -16         0.226687    
621         -12         0.226687    
622         -8          0.226687    
623         -4          0.226687    
624         0           0.226687    
625         4           0.226687    
626         8           0.226687    
627         12          0.226687    
628         16          0.226687    
629         20          0.226687    
630         24          0.226687    
631         28          0.226687    
632         32          0.226687    
633         36          0.226687    
634         40          0.226687    
635         44          0.226687    
636         48          0.226687    
637         52          0.226687    
638         56          0.226687    
639         60          0.226687    
640         64          0.226687    
641         68          0.226687    
642         72          0.226687    
643         76          0.226687    
644         80          0.226687    
645         84          0.226687    
646         88          0.226687    
647         92          0.226687    
648         96          0.226687    
649         100         0.226687    
650         104         0.226687    
651         108         0.226687    
652         112         0.226687    
653         116         0.226687    
654         120         0.226687    
655         124         0.226687    
656         128         0.226687    
657         132         0.226687    
658         136         0.226687    
659         140         0.226687    
660         144         0.226687    
661         148         0.226687    
662         152         0.226687    
663         156         0.226687    
664         160         0.226687    
665         164         0.226687    
666         168         0.226687    
667         172         0.226687    
668         176         0.226687    
669         180         0.226687    
670         184         0.226687    
671         188         0.226687    
672         -193        0.261562    
673         -189        0.261562    
674         -185        0.261562    
675         -181        0.261562    
676         -177        0.261562    
677         -173        0.261562    
678         -169        0.261562    
679         -165        0.261562    
680         -161        0.261562    
681         -157        0.261562    
682         -153        0.261562    
683         -149        0.261562    
684         -145        0.261562    
685         -141        0.261562    
686         -137        0.261562    
687         -133        0.261562    
688         -129        0.261562    
689         -125        0.261562    
690         -121        0.261562    
691         -117        0.261562    
692         -113        0.261562    
693         -109        0.261562    
694         -105        0.261562    
695         -101        0.261562    
696         -97         0.261562    
697         -93         0.261562    
698         -89         0.261562    
699         -85         0.261562    
700         -81         0.261562    
701         -77         0.261562    
702         -73         0.261562    
703         -69         0.261562    
704         -65         0.261562    
705         -61         0.261562    
706         -57         0.261562    
707         -53         0.261562    
708         -49         0.261562    
709         -45         0.261562    
710         -41         0.261562    
711         -37         0.261562    
712         -33         0.261562    
713         -29         0.261562    
714         -25         0.261562    
715         -21         0.261562    
716         -17         0.261562    
717         -13         0.261562    
718         -9          0.261562    
719         -5          0.261562    
720         -1          0.261562    
721         3           0.261562    
722         7           0.261562    
723         11          0.261562    
724         15          0.261562    
725         19          0.261562    
726         23          0.261562    
727         27          0.261562    
728         31          0.261562    
729         35          0.261562    
730         39          0.261562    
731         43          0.261562    
732         47          0.261562    
733         51          0.261562    
734         55          0.261562    
